,ground.x,ground.y,ground.z,ground.e0,ground.e1,ground.e2,ground.e3,rbs_l1.x,rbs_l1.y,rbs_l1.z,rbs_l1.e0,rbs_l1.e1,rbs_l1.e2,rbs_l1.e3,rbs_l2.x,rbs_l2.y,rbs_l2.z,rbs_l2.e0,rbs_l2.e1,rbs_l2.e2,rbs_l2.e3,rbs_l3.x,rbs_l3.y,rbs_l3.z,rbs_l3.e0,rbs_l3.e1,rbs_l3.e2,rbs_l3.e3,time
0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,-375.0,-425.0,425.0,1.0,0.0,0.0,0.0,-575.0,-850.0,325.0,1.0,0.0,0.0,0.0,0.0
1,-2.6209673946392597e-18,6.640146513087403e-18,1.4876988529977185e-18,1.0,-3.158323338870784e-21,-4.8795691044682314e-21,7.501169052833924e-21,-4.213296378452498e-18,12.533323399171186,99.21147046977568,0.9980267292759754,-0.0627905196631804,-7.693358565449799e-21,4.511603921720739e-21,-352.593137765325,-412.4666766008288,435.3146308927224,0.999442565884652,0.011326327921486632,0.029761681905308923,0.010025933734756187,-552.593137765325,-850.0,336.1031604229467,0.9994261232751491,2.563677771465638e-20,0.03387369085143449,-3.442919539721862e-21,0.02
2,-7.465695248545271e-23,-5.460112555120742e-22,-1.6542553456744708e-22,1.0,4.0685848350692487e-25,-1.801779565166136e-24,5.544793768233721e-25,-4.743384501153094e-22,24.868988716485806,96.8583161128644,0.9921147013144783,-0.12533323356434004,-1.744945268603348e-24,1.139154231786895e-24,-327.42578026815374,-400.1310112835142,443.2867654683741,0.9975309208005236,0.022857103600970943,0.06336105536068364,0.01987439371463462,-527.4257802681537,-850.0,346.4284493555097,0.9974991804508507,-8.256820252058482e-25,0.07067803760513378,5.936629804896823e-25,0.04
3,3.827098085606638e-23,9.749211045788371e-22,3.7667555173644186e-22,1.0,-1.2142514541178579e-24,-5.678624985004741e-24,1.7050614279634324e-24,-1.539567084689324e-21,36.81245526846828,92.97764858882638,0.982287250728687,-0.18738131458576035,-6.214051402559041e-24,3.427544515859874e-24,-299.51889956221095,-388.1875447315317,448.4294577410094,0.9938970533424363,0.03451300426243998,0.10059320777163992,0.02930028061361418,-499.51889956221095,-850.0,355.451809152183,0.993903702713534,-5.660920825758453e-25,0.11025166543815773,5.822998498970401e-25,0.06
4,6.254391774580424e-22,3.3964639413811184e-22,1.880413153333288e-23,1.0,3.4164119702808426e-24,6.1850185457350985e-25,-1.2624372890119523e-25,2.2186712959340957e-31,48.175367410172164,87.63066800438752,0.9685831611286271,-0.24868988716489038,4.432512867531691e-25,5.8645877054769615e-24,-269.00732159149936,-376.82463258982784,450.24339470600336,0.9881802679680074,0.04620080001989322,0.14112837174893386,0.03805294683442617,-469.00732159149936,-850.0,362.6127267016158,0.9883271334820202,9.524737973608419e-24,0.15234656944642186,4.171797156423485e-24,0.08
5,4.114889511111085e-22,-7.634446130706359e-22,-2.1836509362292943e-22,1.0,-6.247910053721007e-24,-4.646178402427599e-24,1.0896921455765257e-24,-7.237049497975646e-22,58.778525229248075,80.90169943749582,0.9510565162951473,-0.30901699437498253,-4.823752812035651e-24,1.1925201443624214e-24,-236.18872169782938,-366.2214747707519,448.24401447917825,0.9800628707044745,0.05780498607337685,0.1844726384849924,0.04588244434829313,-436.18872169782935,-850.0,367.3423150416824,0.9804872009061224,1.0881684312508625e-24,0.19658293124441664,4.1160492417564886e-24,0.1
6,-1.7671677995755438e-21,-1.3457797643079674e-21,-2.1836509362292943e-22,1.0,2.818112038541604e-24,3.442952511507984e-23,6.439940647244033e-25,1.1248597542830233e-21,68.45471059286976,72.89686274214212,0.9297764858882429,-0.36812455268471267,2.738321738108328e-23,1.6236226777471631e-23,-201.57118118458143,-356.5452894071302,442.0140953204039,0.9693220762340075,0.06917665921278332,0.22993016232469232,0.05254924160204724,-401.5711811845814,-850.0,369.1172325782618,0.9701755393900603,-5.633641944790717e-24,0.24240342976859866,1.2649275787304933e-23,0.12
7,-2.6036850808978683e-22,5.661430049185395e-22,-1.9189531402123254e-22,1.0,1.36113671921424e-23,-1.2219464276480837e-23,3.1929349870906192e-24,-4.748805514636507e-21,77.05132427757994,63.7423989748698,0.9048270524660089,-0.42577929156510685,-1.4073198903898893e-23,8.90740302631712e-24,-165.90619260996692,-347.94867572242003,431.28506628207805,0.9558981700726793,0.08012110394789074,0.2765755132225785,0.057838418267293606,-365.9061926099669,-850.0,367.54266730720826,0.957318407972941,1.2884185055478762e-23,0.28903540569517233,2.631999213978413e-23,0.14
8,6.641172690139767e-23,1.3813275134210803e-21,-1.6542553441953566e-22,1.0,1.3439321478205297e-23,-4.3897381314079417e-23,1.6614363734702354e-24,-2.900240807157808e-22,84.43279255020262,53.58267949790038,0.8763066800438508,-0.4817536741017487,-3.2669658525575266e-23,-3.133644987177954e-23,-130.1878402836598,-340.56720744979737,416.04131485595076,0.9399720614253788,0.0903874780394573,0.3232502163395814,0.061578609673476344,-330.1878402836598,-850.0,362.4586353580504,0.9420491592774187,-7.75028341034352e-24,0.3354748596939989,2.7264279035107017e-23,0.16
9,-3.255547064381434e-22,3.670688163234602e-21,-2.925355338318262e-21,1.0,-3.8862194505417746e-23,-4.236837417209558e-23,3.922912246341038e-24,-1.0646865332265978e-20,90.48270524660316,42.577929156507835,0.8443279255020003,-0.5358267949790292,-4.3642972556117386e-23,3.1429186342987557e-24,-95.59744052637195,-334.5172947533968,396.6260975774335,0.922034030394328,0.09966609165725805,0.3686011095707064,0.06366426754759943,-295.59744052637194,-850.0,354.04816842092566,0.9247766044669884,-3.796053416390329e-23,0.3805104884303452,5.866793774339564e-23,0.18
